Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.41     0.00   384080     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      1.41     0.00   384080     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::min()
  0.00      1.41     0.00   384080     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::operator()()
  0.00      1.41     0.00   384080     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul> >(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.41     0.00   384080     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul> >(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      1.41     0.00   384080     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.41     0.00   384080     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>, double>::operator()()
  0.00      1.41     0.00   384080     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul> >(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.41     0.00   384064     0.00     0.00  MFParams::random1()
  0.00      1.41     0.00   384024     0.00     0.00  void std::__relocate_object_a<std::complex<double>, std::complex<double>, std::allocator<std::complex<double> > >(std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00      1.41     0.00   384010     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      1.41     0.00   384005     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      1.41     0.00   345663     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::end()
  0.00      1.41     0.00   345663     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::begin()
  0.00      1.41     0.00   345662     0.00     0.00  Matrix<std::complex<double> >::operator=(Matrix<std::complex<double> > const&)
  0.00      1.41     0.00   345662     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator+(long) const
  0.00      1.41     0.00   345662     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::end() const
  0.00      1.41     0.00   345662     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::begin() const
  0.00      1.41     0.00   345662     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::capacity() const
  0.00      1.41     0.00   345662     0.00     0.00  std::complex<double>* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<std::complex<double> const, std::complex<double> >(std::complex<double> const*, std::complex<double> const*, std::complex<double>*)
  0.00      1.41     0.00   345662     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.00      1.41     0.00   345662     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator=(std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&)
  0.00      1.41     0.00   345662     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > > const* std::__addressof<std::vector<std::complex<double>, std::allocator<std::complex<double> > > const>(std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&)
  0.00      1.41     0.00   345662     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > std::__niter_wrap<__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*>(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*)
  0.00      1.41     0.00   345662     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.00      1.41     0.00   345662     0.00     0.00  std::complex<double>* std::__copy_move_a1<false, std::complex<double> const*, std::complex<double>*>(std::complex<double> const*, std::complex<double> const*, std::complex<double>*)
  0.00      1.41     0.00   345662     0.00     0.00  std::complex<double>* std::__copy_move_a2<false, std::complex<double> const*, std::complex<double>*>(std::complex<double> const*, std::complex<double> const*, std::complex<double>*)
